epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,650.59,1.15671,0.55289,0.89989,0.94558,1,0.995,0.59748,1.45091,0.58049,0.87695,0.000562025,0.000562025,0.000562025
45,665.583,1.16417,0.55788,0.89911,0.96192,1,0.995,0.61073,1.42011,0.55905,0.87911,0.000558491,0.000558491,0.000558491
46,680.657,1.15929,0.55596,0.90019,0.97175,1,0.995,0.61616,1.42736,0.5225,0.87992,0.000554956,0.000554956,0.000554956
47,695.467,1.16612,0.55799,0.89887,0.97853,1,0.995,0.59869,1.39893,0.5143,0.87613,0.000551422,0.000551422,0.000551422
48,710.088,1.15611,0.5553,0.90174,0.97778,1,0.995,0.61531,1.39167,0.55708,0.87445,0.000547888,0.000547888,0.000547888
49,724.757,1.1655,0.55803,0.90347,0.96072,1,0.995,0.59463,1.4025,0.5554,0.87671,0.000544354,0.000544354,0.000544354
50,739.051,1.1541,0.54787,0.89888,0.98487,1,0.995,0.59872,1.40405,0.51949,0.87407,0.000540819,0.000540819,0.000540819
51,753.852,1.14839,0.54094,0.89389,0.93185,0.99865,0.995,0.60788,1.40427,0.53965,0.87441,0.000537285,0.000537285,0.000537285
52,768.355,1.15983,0.54803,0.89669,0.94153,1,0.995,0.60114,1.41775,0.56723,0.87478,0.000533751,0.000533751,0.000533751
53,782.858,1.15349,0.54258,0.89768,0.96863,1,0.995,0.59054,1.4691,0.53415,0.87963,0.000530216,0.000530216,0.000530216
54,797.98,1.1691,0.55299,0.89969,0.95244,1,0.995,0.58243,1.43087,0.53304,0.88195,0.000526682,0.000526682,0.000526682
55,812.756,1.15307,0.53982,0.89534,0.97293,1,0.995,0.607,1.44062,0.54546,0.87183,0.000523148,0.000523148,0.000523148
