epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,744.507,1.13448,0.49821,0.89392,0.98029,1,0.995,0.62537,1.42736,0.50692,0.87471,0.000562025,0.000562025,0.000562025
45,761.558,1.13512,0.49737,0.89367,0.97745,1,0.995,0.64849,1.37319,0.50843,0.86876,0.000558491,0.000558491,0.000558491
46,778.776,1.14303,0.50038,0.89595,0.97861,1,0.995,0.65423,1.37212,0.48527,0.87073,0.000554956,0.000554956,0.000554956
47,795.932,1.14212,0.49483,0.89252,0.98642,1,0.995,0.62936,1.42539,0.49746,0.87223,0.000551422,0.000551422,0.000551422
48,813.116,1.12666,0.49465,0.89668,0.97969,1,0.995,0.61199,1.40429,0.50084,0.87495,0.000547888,0.000547888,0.000547888
49,830.204,1.14191,0.49931,0.89836,0.9732,1,0.995,0.60723,1.40426,0.50811,0.86963,0.000544354,0.000544354,0.000544354
50,847.281,1.13212,0.49413,0.89374,0.97771,1,0.995,0.61434,1.41628,0.50551,0.87151,0.000540819,0.000540819,0.000540819
51,864.347,1.12531,0.49326,0.88862,0.97874,1,0.995,0.64313,1.40826,0.51816,0.87135,0.000537285,0.000537285,0.000537285
52,881.433,1.12751,0.4927,0.89091,0.97423,1,0.995,0.625,1.38976,0.49288,0.86967,0.000533751,0.000533751,0.000533751
53,898.586,1.12303,0.49218,0.89159,0.98559,1,0.995,0.5982,1.44553,0.51989,0.87357,0.000530216,0.000530216,0.000530216
54,915.73,1.13455,0.50035,0.89299,0.98605,1,0.995,0.59516,1.40798,0.51519,0.87638,0.000526682,0.000526682,0.000526682
55,933.011,1.11258,0.49072,0.88925,0.96855,0.99693,0.995,0.6068,1.41438,0.51862,0.87328,0.000523148,0.000523148,0.000523148
56,950.195,1.13343,0.49573,0.893,0.96672,0.99341,0.995,0.64675,1.38658,0.51684,0.86811,0.000519613,0.000519613,0.000519613
57,967.364,1.12431,0.49089,0.89533,0.98737,1,0.995,0.62163,1.42707,0.52777,0.87587,0.000516079,0.000516079,0.000516079
58,984.676,1.12341,0.48587,0.88798,0.98174,1,0.995,0.61798,1.41239,0.50342,0.87434,0.000512545,0.000512545,0.000512545
59,1001.51,1.11005,0.47477,0.8891,0.9865,1,0.995,0.64561,1.39242,0.50339,0.86914,0.000509011,0.000509011,0.000509011
60,1018.37,1.11494,0.48372,0.89207,0.98232,1,0.995,0.61607,1.39376,0.49766,0.87455,0.000505476,0.000505476,0.000505476
61,1035.28,1.11297,0.49101,0.88851,0.97923,1,0.995,0.59507,1.40116,0.48059,0.87113,0.000501942,0.000501942,0.000501942
62,1052.14,1.10619,0.47753,0.88832,0.982,1,0.995,0.60966,1.38569,0.51994,0.86567,0.000498408,0.000498408,0.000498408
63,1069.09,1.1081,0.47993,0.8951,0.97953,1,0.995,0.61503,1.42527,0.49596,0.87117,0.000494873,0.000494873,0.000494873
64,1085.99,1.10982,0.47587,0.88924,0.97891,0.99053,0.995,0.61872,1.42188,0.54542,0.86809,0.000491339,0.000491339,0.000491339
65,1102.81,1.09863,0.4725,0.88771,0.98225,1,0.995,0.62383,1.41943,0.48754,0.87097,0.000487805,0.000487805,0.000487805
66,1119.72,1.11628,0.48436,0.88941,0.98708,1,0.995,0.589,1.46082,0.51779,0.88623,0.000484271,0.000484271,0.000484271
67,1136.64,1.0968,0.4771,0.8797,0.98637,1,0.995,0.63567,1.39329,0.48735,0.87151,0.000480736,0.000480736,0.000480736
68,1153.65,1.11436,0.4685,0.89011,0.93583,1,0.995,0.6289,1.36879,0.4705,0.87104,0.000477202,0.000477202,0.000477202
69,1170.6,1.09322,0.46706,0.88996,0.98229,1,0.995,0.62716,1.39665,0.48541,0.86959,0.000473668,0.000473668,0.000473668
70,1187.43,1.09787,0.47096,0.88604,0.97597,1,0.995,0.6138,1.43571,0.4939,0.87965,0.000470133,0.000470133,0.000470133
71,1204.28,1.09948,0.47749,0.88295,0.95126,0.98079,0.995,0.60235,1.43344,0.49427,0.87973,0.000466599,0.000466599,0.000466599
72,1221.35,1.09742,0.46668,0.88442,0.98842,1,0.995,0.61476,1.42104,0.48136,0.87464,0.000463065,0.000463065,0.000463065
73,1238.2,1.10494,0.47074,0.88874,0.97465,1,0.995,0.63242,1.4035,0.50338,0.87343,0.00045953,0.00045953,0.00045953
74,1255.28,1.09434,0.46699,0.88726,0.98265,1,0.995,0.6169,1.42579,0.5231,0.87531,0.000455996,0.000455996,0.000455996
75,1272.07,1.08094,0.4642,0.88154,0.98054,1,0.995,0.59924,1.43552,0.50922,0.87504,0.000452462,0.000452462,0.000452462
76,1288.95,1.08652,0.45961,0.88519,0.98393,1,0.995,0.62765,1.42321,0.48895,0.8752,0.000448928,0.000448928,0.000448928
77,1305.74,1.09727,0.46741,0.88597,0.98478,1,0.995,0.63554,1.37566,0.48784,0.86583,0.000445393,0.000445393,0.000445393
78,1322.7,1.08107,0.46566,0.88205,0.98685,1,0.995,0.60798,1.422,0.49822,0.8765,0.000441859,0.000441859,0.000441859
79,1339.71,1.09935,0.46703,0.89031,0.96635,0.99553,0.995,0.62794,1.38803,0.48891,0.86914,0.000438325,0.000438325,0.000438325
80,1356.55,1.08416,0.461,0.88534,0.98852,1,0.995,0.63858,1.38891,0.46296,0.86991,0.00043479,0.00043479,0.00043479
81,1373.61,1.07163,0.45748,0.87617,0.98712,1,0.995,0.6143,1.40783,0.487,0.87239,0.000431256,0.000431256,0.000431256
82,1390.45,1.08255,0.45495,0.8834,0.98755,1,0.995,0.62458,1.40743,0.47594,0.8753,0.000427722,0.000427722,0.000427722
83,1407.25,1.05736,0.45062,0.87851,0.99268,1,0.995,0.62721,1.43934,0.49584,0.87676,0.000424187,0.000424187,0.000424187
84,1424.18,1.0856,0.45577,0.8835,0.98895,1,0.995,0.60918,1.42712,0.49968,0.88177,0.000420653,0.000420653,0.000420653
85,1441.03,1.08313,0.45748,0.88511,0.99128,1,0.995,0.61403,1.39625,0.47575,0.87246,0.000417119,0.000417119,0.000417119
86,1457.97,1.08041,0.45208,0.88431,0.98533,1,0.995,0.60171,1.41675,0.48794,0.87832,0.000413584,0.000413584,0.000413584
87,1475.07,1.05294,0.45088,0.88354,0.98168,1,0.995,0.61845,1.39952,0.47948,0.86869,0.00041005,0.00041005,0.00041005
88,1493.6,1.06482,0.45156,0.88276,0.98772,1,0.995,0.62284,1.40564,0.47457,0.87303,0.000406516,0.000406516,0.000406516
89,1510.67,1.07546,0.44916,0.88001,0.98505,1,0.995,0.63533,1.39831,0.48404,0.87296,0.000402982,0.000402982,0.000402982
90,1527.58,1.05505,0.4496,0.88075,0.9799,1,0.995,0.61639,1.43711,0.5011,0.88189,0.000399447,0.000399447,0.000399447
91,1544.53,1.06262,0.4525,0.87886,0.9918,1,0.995,0.59419,1.42886,0.49985,0.87947,0.000395913,0.000395913,0.000395913
92,1561.45,1.06106,0.44512,0.87292,0.98757,1,0.995,0.61542,1.4119,0.46473,0.87395,0.000392379,0.000392379,0.000392379
93,1578.56,1.05587,0.44475,0.87869,0.99071,1,0.995,0.61549,1.40311,0.47431,0.87125,0.000388844,0.000388844,0.000388844
94,1595.46,1.04357,0.44763,0.877,0.98103,1,0.995,0.6413,1.40577,0.48301,0.86926,0.00038531,0.00038531,0.00038531
95,1612.4,1.04966,0.44898,0.8783,0.98295,1,0.995,0.63868,1.39398,0.47311,0.86802,0.000381776,0.000381776,0.000381776
96,1629.08,1.05331,0.4418,0.87843,0.99084,1,0.995,0.61924,1.41263,0.49019,0.87106,0.000378242,0.000378242,0.000378242
97,1646.03,1.04936,0.44281,0.87473,0.98389,1,0.995,0.6358,1.38824,0.46578,0.86934,0.000374707,0.000374707,0.000374707
98,1662.97,1.05137,0.43879,0.88043,0.9823,1,0.995,0.63235,1.40433,0.4695,0.86888,0.000371173,0.000371173,0.000371173
99,1680.03,1.05981,0.44415,0.88027,0.98709,1,0.995,0.62221,1.40513,0.50154,0.87187,0.000367639,0.000367639,0.000367639
100,1696.9,1.04816,0.44278,0.87589,0.98521,1,0.995,0.6309,1.38977,0.47813,0.86524,0.000364104,0.000364104,0.000364104
101,1713.79,1.05159,0.43983,0.8723,0.98187,1,0.995,0.62758,1.39215,0.47691,0.86453,0.00036057,0.00036057,0.00036057
102,1730.76,1.0391,0.43694,0.86763,0.9802,1,0.995,0.62362,1.41356,0.49798,0.87571,0.000357036,0.000357036,0.000357036
103,1747.81,1.04741,0.43822,0.8736,0.98712,1,0.995,0.62426,1.38935,0.47125,0.86638,0.000353501,0.000353501,0.000353501
104,1764.87,1.03619,0.43736,0.87682,0.9799,1,0.995,0.62108,1.39108,0.47182,0.87293,0.000349967,0.000349967,0.000349967
